epoch,acc,loss,lr,val_acc,val_loss
0,0.578705882,1.164565832,0.001,0.720000029,0.769906819
1,0.596000003,1.00088455,0.001,0.629999995,0.964958489
2,0.652705883,0.913580785,0.001,0.709999979,0.884656727
3,0.66917647,0.856426868,0.001,0.579999983,1.086811781
4,0.689647062,0.82016405,0.001,0.649999976,0.972264349
5,0.69964706,0.801249846,0.001,0.660000026,1.146838427
6,0.708941177,0.762818658,0.000316228,0.709999979,0.920422077
7,0.720235297,0.734644243,0.000316228,0.540000021,1.278953433
8,0.72352941,0.734666156,0.000316228,0.660000026,0.973605633
9,0.733647059,0.72664178,0.000316228,0.699999988,0.913090527
10,0.734117645,0.721817417,0.000316228,0.699999988,0.988908231
11,0.735176472,0.715080362,0.0001,0.620000005,1.14895153
12,0.743529407,0.681101051,0.0001,0.560000002,1.178783178
13,0.754705883,0.681218532,0.0001,0.629999995,1.039381742
14,0.753764705,0.687853905,0.0001,0.699999988,1.004503846
15,0.748823531,0.696341936,0.0001,0.560000002,1.41643405
16,0.760941177,0.682857052,3.16E-05,0.720000029,0.847799599
17,0.751411763,0.689041352,3.16E-05,0.610000014,1.228116274
18,0.75517647,0.685945135,3.16E-05,0.589999974,1.127115488
19,0.759176474,0.667213226,3.16E-05,0.540000021,1.357491612
20,0.755882356,0.685949732,3.16E-05,0.639999986,1.072410464
21,0.759882353,0.678351585,1.00E-05,0.649999976,1.106591463
22,0.765647059,0.665684545,1.00E-05,0.660000026,1.001951098
23,0.751294116,0.694589861,1.00E-05,0.660000026,0.983213067
24,0.752705882,0.692355236,1.00E-05,0.639999986,1.022971272
25,0.753294115,0.684150201,1.00E-05,0.680000007,1.059158564
26,0.761058822,0.678854295,5.00E-06,0.579999983,1.169398904
27,0.761882353,0.668760363,5.00E-06,0.579999983,1.08649838
28,0.766235291,0.666082287,5.00E-06,0.680000007,0.983706236
29,0.758705882,0.677814738,5.00E-06,0.699999988,0.770841062
30,0.769529411,0.656848877,5.00E-06,0.529999971,1.380655169
31,0.761176468,0.664780241,5.00E-06,0.709999979,0.833081186
32,0.763647058,0.670181757,5.00E-06,0.670000017,1.027449489
33,0.764705883,0.670832791,5.00E-06,0.579999983,1.272721767
34,0.752470585,0.685089133,5.00E-06,0.639999986,1.010564446
35,0.767764707,0.673025143,5.00E-06,0.600000024,1.274546385
36,0.758117643,0.679772309,5.00E-06,0.709999979,0.835598588
37,0.750823527,0.699849522,5.00E-06,0.610000014,1.158997178
38,0.750352938,0.693662425,5.00E-06,0.680000007,0.905226052
39,0.769176468,0.658058491,5.00E-06,0.660000026,0.928945363
40,0.75952941,0.675496814,5.00E-06,0.689999998,0.880996943
41,0.754941178,0.693545168,5.00E-06,0.620000005,1.202092767
42,0.76388235,0.678375683,5.00E-06,0.620000005,1.185521245
43,0.769411763,0.65277935,5.00E-06,0.720000029,0.813283622
44,0.759647057,0.662178733,5.00E-06,0.670000017,1.008769393
45,0.757882352,0.680964853,5.00E-06,0.560000002,1.28145504
46,0.766941174,0.659646315,5.00E-06,0.670000017,0.965068817
47,0.767411762,0.659446619,5.00E-06,0.670000017,1.078524351
48,0.757529413,0.678833517,5.00E-06,0.680000007,0.846128702
49,0.769764708,0.659249986,5.00E-06,0.600000024,1.143825412
50,0.764823531,0.669386527,5.00E-06,0.610000014,1.064997911
51,0.767529405,0.659084544,5.00E-06,0.639999986,0.964170754
52,0.771176467,0.64568167,5.00E-06,0.629999995,1.072526932
53,0.761882351,0.677687846,5.00E-06,0.680000007,0.919352293
54,0.773058822,0.651808903,5.00E-06,0.680000007,0.894507289
55,0.765294118,0.671961182,5.00E-06,0.620000005,1.125558257
56,0.769529409,0.66879653,5.00E-06,0.639999986,1.011003971
57,0.767058822,0.660101351,5.00E-06,0.579999983,1.125921607
58,0.757647059,0.676941986,5.00E-06,0.670000017,1.048615456
59,0.773764706,0.653282025,5.00E-06,0.699999988,0.914659142
60,0.759882355,0.679232969,5.00E-06,0.569999993,1.130268812
